,Facility.Name,Facility.City,Facility.State,Facility.Type,Rating.Overall,Rating.Mortality,Rating.Safety,Rating.Readmission,Rating.Experience,Rating.Effectiveness,Rating.Timeliness,Rating.Imaging
1201,Hshs St Elizabeth's Hospital,O Fallon,IL,Church,3,Same,Below,Below,Same,Same,Same,Same
1202,Sarah Bush Lincoln Health Center,Mattoon,IL,Private,3,Same,Below,Below,Above,Same,Same,Same
1203,Ingalls Memorial Hospital,Harvey,IL,Private,3,Above,Below,Below,Below,Same,Below,Same
1204,Methodist Hospital Of Chicago,Chicago,IL,Private,3,Same,,Below,,Same,Same,
1205,Elmhurst Memorial Hospital,Elmhurst,IL,Proprietary,4,Above,Below,Above,Above,Same,Same,Same
1206,Advocate Condell Medical Center,Libertyville,IL,Private,4,Same,Above,Above,Same,Same,Same,Above
1207,Norwegian-american Hospital,Chicago,IL,Private,1,Same,Below,Below,Below,Same,Below,
1208,Advocate Christ Hospital & Medical Center,Oak Lawn,IL,Church,2,Above,Below,Below,Below,Same,Below,Above
1209,Methodist Medical Center Of Illinois,Peoria,IL,Private,4,Below,Above,Above,Above,Same,Below,Same
1210,Harrisburg Medical Center,Harrisburg,IL,Unknown,2,Same,,Below,Same,Same,Above,Below
1211,Delnor Community Hospital,Geneva,IL,Private,5,Above,Above,Above,Above,Same,Same,Same
1212,Silver Cross Hospital  And Medical Centers,New Lenox,IL,Private,4,Above,Above,Below,Above,Below,Same,Above
1213,Presence Saint Joseph Hospital - Elgin,Elgin,IL,Church,4,Same,Above,Above,Below,Same,Above,Same
1214,Advocate Lutheran General Hospital,Park Ridge,IL,Church,5,Above,Above,Above,Same,Same,Same,Above
1215,Presence Saint Joseph Hospital - Chicago,Chicago,IL,Church,4,Above,Above,Same,Below,Same,Same,Same
1216,Swedish American Hospital,Rockford,IL,Unknown,2,Same,Below,Above,Same,Same,Same,Above
1217,Edward Hospital,Naperville,IL,Private,5,Above,Above,Above,Above,Same,Same,Same
1218,Saint Anthony Medical Center,Rockford,IL,Church,2,Same,Above,Below,Below,Same,Same,Same
1219,Illinois Valley Community Hospital,Peru,IL,Private,3,Same,Above,Below,Above,Same,Above,Same
1220,Mercyhealth Hospital Rockton Avenue,Rockford,IL,Private,3,Same,Same,Same,Below,Same,Above,Same
1221,Westlake Community Hospital,Melrose Park,IL,Unknown,3,Same,Same,Above,Below,Same,Same,Same
1222,Central Dupage Hospital,Winfield,IL,Private,5,Same,Same,Above,Above,Same,Same,Same
1223,Advocate South Suburban Hospital,Hazel Crest,IL,Church,3,Same,Same,Above,Below,Same,Below,Same
1224,Community First Medical Center,Chicago,IL,Private,1,Same,Above,Below,Below,Same,Same,Same
1225,Northwest Community Hospital 1,Arlington Heights,IL,Private,3,Below,Below,Above,Same,Same,Above,Same
1226,Alexian Brothers Medical Center 1,Elk Grove Village,IL,Church,4,Above,Same,Above,Below,Same,Same,Same
1227,Genesis Health System,Silvis,IL,Government,2,Same,Same,Above,Below,Same,Same,Same
1228,Loyola University Medical Center,Maywood,IL,Private,2,Above,Below,Below,Same,Same,Below,Same
1229,Trinity Rock Island,Rock Island,IL,Unknown,3,Below,Above,Above,Below,Same,Same,Above
1230,Northwestern Memorial Hospital,Chicago,IL,Private,3,Above,Below,Below,Above,Same,Below,Below
1231,Kishwaukee Community Hospital,Dekalb,IL,Private,3,Same,Same,Above,Same,Same,Same,Same
1232,Advocate Good Samaritan Hospital,Downers Grove,IL,Church,4,Above,Below,Above,Above,Same,Same,Above
1233,Anderson Hospital,Maryville,IL,Private,3,Same,Same,Above,Above,Same,Same,Same
1234,St Alexius Medical Center,Hoffman Estates,IL,Church,4,Above,Below,Above,Below,Same,Same,Same
1235,Advocate Good Shepherd Hospital,Barrington,IL,Church,4,Above,Below,Above,Same,Same,Same,Same
1236,Adventist Glenoaks,Glendale Heights,IL,Unknown,2,Same,Same,Above,Below,Same,Above,Same
1237,Crossroads Community Hospital,Mount Vernon,IL,Proprietary,3,Same,Same,Same,Same,Same,Same,
1238,Provident Hospital Of Chicago,Chicago,IL,Government,-1,,,,,Same,Below,
1239,Adventist Bolingbrook Hospital,Bolingbrook,IL,Private,2,Same,Below,Below,Same,Same,Above,Same
1240,Metro-east Services Inc,Shiloh,IL,Private,3,Same,Below,Below,Above,Same,Above,Same
1241,Thomas H Boyd Memorial Hospital,Carrollton,IL,Private,-1,,,Same,,,,
1242,Kirby Medical Center,Monticello,IL,Private,-1,,,,,,,
1243,Midwest Medical Center,Galena,IL,Private,-1,,,,,,,
1244,Warner Hospital And Health Services,Clinton,IL,Government,-1,,,Same,,,,Same
1245,"Genesis Medical Center, Aledo",Aledo,IL,Private,-1,,,,,Same,Above,
1246,Memorial Hospital,Carthage,IL,Private,4,Same,,Above,Above,,Same,Same
1247,Community Memorial Hospital,Staunton,IL,Private,-1,,,Same,,,,
1248,Pinckneyville Community Hospital,Pinckneyville,IL,Government,2,,,Below,,Same,Same,Same
1249,Washington County Hospital*,Nashville,IL,Government,-1,,,,,Same,Same,Same
1250,Advocate Eureka  Hospital,Eureka,IL,Private,3,,,Same,,Same,Above,
1251,Osf Saint Paul Medical Center,Mendota,IL,Private,3,Same,,Same,,Same,,Same
1252,Fairfield Memorial Hospital 1,Fairfield,IL,Private,4,Same,,Above,Above,Same,Above,Same
1253,Rochelle Community Hospital,Rochelle,IL,Private,4,Same,,Same,Above,,,
1254,Mason District Hospital,Havana,IL,Government,4,,,Same,,Same,Above,
1255,Illini Community Hospital,Pittsfield,IL,Private,3,Same,,Same,,Same,Same,Same
1256,Hoopeston Community Memorial Hospital,Hoopeston,IL,Private,-1,Same,,Same,,,,
1257,Gibson Community Hospital,Gibson City,IL,Private,4,,,Above,Above,,,Below
1258,Osf Holy Family Medical Center,Monmouth,IL,Private,4,Same,,Same,,Same,Above,Same
1259,Hammond Henry Hospital,Geneseo,IL,Government,4,Same,,Above,Above,,,Same
1260,Paris Community Hospital,Paris,IL,Unknown,4,Same,,Same,Above,Same,Above,
1261,Franklin Hospital,Benton,IL,Government,3,Same,,Same,,Same,Same,Same
1262,Abraham Lincoln Memorial Hospital,Lincoln,IL,Private,4,Same,Same,Above,Above,Same,Same,Same
1263,Massac Memorial Hospital,Metropolis,IL,Government,4,Same,,Below,Above,Same,Same,Same
1264,Ferrell Hospital Community Foundations,Eldorado,IL,Private,-1,Same,,Same,,,,
1265,Osf Saint Lukes Medical Center,Kewanee,IL,Church,3,Same,,Same,,Same,,
1266,Hamilton Memorial Hospital District,Mcleansboro,IL,Government,2,Same,,Below,Below,,,
1267,Wabash General Hospital 1,Mount Carmel,IL,Government,4,Same,,Same,Above,Same,Above,Same
1268,Hardin County General Hospital,Rosiclare,IL,Private,2,Same,,Below,Above,,,
1269,Morrison Community Hospital,Morrison,IL,Government,-1,,,,,Same,Same,
1270,Hopedale Hospital,Hopedale,IL,Private,5,,,Same,Above,,Above,
1271,Marshall Browning Hospital,Du Quoin,IL,Private,2,Same,,Below,,Same,Same,Same
1272,Hillsboro Area Hospital,Hillsboro,IL,Private,3,Same,,Above,,Same,Same,
1273,Sarah D Culbertson Memorial Hospital,Rushville,IL,Government,-1,,,Same,,,,
1274,St Joseph Memorial Hospital,Murphysboro,IL,Private,3,Same,,Same,,Same,Same,
1275,Mercy Harvard Hospital,Harvard,IL,Private,3,Same,,Same,,Same,Above,Same
1276,St Joseph's Hospital,Highland,IL,Church,5,Same,,Above,Above,Same,,Same
1277,Perry Memorial Hospital,Princeton,IL,Government,3,Same,,Same,Above,Same,Same,Same
1278,Memorial Hospital,Chester,IL,Government,4,Same,,Same,Above,Same,Same,
1279,Taylorville Memorial Hospital,Taylorville,IL,Private,4,Same,,Below,Above,Same,Above,Same
1280,Valley West Community Hospital,Sandwich,IL,Private,4,Same,,Above,Above,Same,Same,Same
1281,Pana Community Hospital,Pana,IL,Private,3,Same,,Same,,,,Same
1282,Union County Hospital,Anna,IL,Proprietary,4,,,Same,,Same,Above,Same
1283,Crawford Memorial Hospital,Robinson,IL,Government,4,Same,,Above,Above,Same,,
1284,Lawrence County Memorial Hospital,Lawrenceville,IL,Private,4,Same,,Same,Same,,,
1285,Salem Township Hospital,Salem,IL,Government,4,Same,,Above,Above,,,
1286,Fayette County Hospital,Vandalia,IL,Unknown,3,Same,,Below,Above,,,
1287,Carlinville Area Hospital,Carlinville,IL,Private,4,Same,,Same,,Same,Same,Same
1288,Red Bud Regional Hospital,Red Bud,IL,Proprietary,3,Same,,Below,Same,Same,Above,
1289,Sparta Community Hospital,Sparta,IL,Government,3,Same,,Above,,,,Same
1290,St Francis Hospital,Litchfield,IL,Church,4,Same,,Below,Above,Same,,Same
1291,Clay County Hospital,Flora,IL,Government,3,Same,,Below,,Same,Same,
1292,Ann & Robert H Lurie Childrens Hospital Of Chicago,Chicago,IL,Private,-1,,,,,,,
1293,Larabida Childrens Hospital I,Chicago,IL,Private,-1,,,,,,,
1294,Shriners Hospital For Children,Chicago,IL,Private,-1,,,,,,,
1295,Johnson Memorial Hospital,Franklin,IN,Government,3,Same,Same,Same,Same,Same,Same,Same
1296,Methodist Hospitals Inc,Gary,IN,Private,3,Above,Above,Below,Same,Same,Below,Same
1297,Franciscan Health Hammond,Hammond,IN,Church,3,Same,Above,Same,Below,Same,Below,Same
1298,Hendricks Regional Health,Danville,IN,Government,4,Same,Above,Same,Above,Above,Above,Below
1299,La Porte Hospital,La Porte,IN,Private,3,Below,Below,Above,Below,Same,Above,Same
1300,Community Howard Regional Health Inc,Kokomo,IN,Private,4,Same,Same,Above,Same,Same,Above,Same
1301,St Catherine Hospital Inc,East Chicago,IN,Private,4,Above,Below,Above,Above,Same,Same,Same
1302,Clark Memorial Hospital,Jeffersonville,IN,Unknown,2,Same,Same,Below,Below,Same,Below,Above
1303,St Vincent Kokomo,Kokomo,IN,Church,4,Below,Above,Above,Above,Same,Above,Same
1304,Marion General Hospital,Marion,IN,Private,3,Same,Below,Above,Same,Same,Same,Same
1305,Saint Joseph Regional Medical Center,Mishawaka,IN,Private,3,Below,Same,Above,Below,Same,Same,Same
1306,Franciscan Health Michigan City,Michigan City,IN,Church,4,Below,Above,Above,Below,Same,Same,Same
1307,Lutheran Hospital Of Indiana,Fort Wayne,IN,Proprietary,2,Below,Below,Above,Below,Same,Below,Same
1308,Elkhart General Hospital,Elkhart,IN,Government,4,Same,Same,Above,Same,Same,Same,Above
1309,Parkview Regional Medical Center,Fort Wayne,IN,Private,4,Same,Below,Above,Above,Same,Same,Same
1310,Franciscan Health Crawfordsville,Crawfordsville,IN,Church,3,Same,Same,Same,Same,Same,Above,Same
1311,Union Hospital Inc,Terre Haute,IN,Private,3,Same,Same,Above,Same,Same,Same,Below
1312,Eskenazi Health,Indianapolis,IN,Government,5,Above,Above,Above,Same,Same,Same,Above
1313,Goshen General Hospital,Goshen,IN,Private,4,Same,Same,Above,Above,Below,Same,Below
1314,Henry County Memorial Hospital,New Castle,IN,Government,4,Same,Same,Above,Above,Same,Above,Same
1315,St Mary Medical Center Inc,Hobart,IN,Private,5,Above,Above,Below,Above,Same,Same,Same
1316,Porter Regional Hospital,Valparaiso,IN,Proprietary,4,Same,Above,Below,Below,Same,Below,Same
1317,Hancock Regional Hospital,Greenfield,IN,Government,3,Below,Above,Above,Above,Same,Above,Same
1318,Good Samaritan Hospital,Vincennes,IN,Unknown,4,Same,Above,Below,Above,Same,Above,Same
1319,Baptist Health Floyd,New Albany,IN,Private,3,Above,Below,Below,Below,Same,Same,Same
1320,Dekalb Health,Auburn,IN,Private,3,Same,Above,Below,Same,Same,Same,Same
1321,Terre Haute Regional Hospital,Terre Haute,IN,Proprietary,2,Same,Below,Below,Same,Same,Above,Same
1322,St Joseph Hospital,Fort Wayne,IN,Proprietary,2,Same,Below,Same,Below,Same,Same,Same
1323,Reid Health,Richmond,IN,Private,5,Same,Above,Above,Same,Same,Same,Same
1324,Iu Health Bloomington Hospital,Bloomington,IN,Private,4,Same,Above,Above,Below,Same,Same,Above
1325,Indiana University Health,Indianapolis,IN,Private,4,Same,Above,Same,Below,Same,Below,Above
1326,Franciscan Health Mooresville,Mooresville,IN,Church,5,Same,Above,Above,Above,Same,Above,Same
1327,Memorial Hospital Of South Bend,South Bend,IN,Private,4,Below,Same,Above,Same,Below,Same,Same
1328,Riverview Health,Noblesville,IN,Government,3,Below,Below,Above,Above,Same,Above,Same
1329,Daviess Community Hospital,Washington,IN,Unknown,4,Same,Same,Above,Same,Same,Above,Same
1330,Fayette Regional Health System,Connersville,IN,Proprietary,4,Same,,Above,Same,Below,Same,Same
1331,Schneck Medical Center,Seymour,IN,Government,5,Same,Above,Above,Above,Same,Above,Same
1332,King's Daughters' Health,Madison,IN,Private,4,Same,Above,Above,Above,Same,Same,Same
1333,Memorial Hospital,Logansport,IN,Government,3,Same,,Above,Same,Same,Above,Same
1334,Community Hospital East,Indianapolis,IN,Private,4,Below,Above,Above,Above,Same,Same,Same
1335,Bluffton Regional Medical Center,Bluffton,IN,Proprietary,3,Same,Same,Same,Same,Same,Above,Same
1336,Saint Joseph Regional Medical Center - Plymouth,Plymouth,IN,Church,4,Same,Same,Above,Above,Same,Above,Same
1337,Deaconess Hospital Inc,Evansville,IN,Private,3,Below,Above,Below,Above,Above,Above,Same
1338,St Vincent Hospital & Health Services,Indianapolis,IN,Church,3,Below,Below,Above,Same,Below,Same,Same
1339,Highpoint Health,Lawrenceburg,IN,Government,3,Same,Below,Below,Above,Same,Above,Same
1340,St Vincent Anderson Regional Hospital Inc,Anderson,IN,Private,3,Same,Below,Above,Above,Same,Same,Same
1341,Indiana University Health Ball Memorial Hospital,Muncie,IN,Private,3,Above,Below,Above,Below,Same,Same,Above
1342,Franciscan Health Dyer,Dyer,IN,Church,3,Same,Above,Above,Below,Same,Below,Same
1343,Parkview Huntington Hospital,Huntington,IN,Private,4,Same,Same,Above,Above,Same,Same,
1344,Major Hospital,Shelbyville,IN,Government,3,Same,Below,Below,Above,Same,Above,Below
1345,St Vincent Evansville,Evansville,IN,Private,3,Same,Below,Same,Above,Same,Above,Same
1346,Parkview Whitley Hospital,Columbia City,IN,Private,4,Same,,Above,Above,Same,Above,Same
1347,Starke Hospital,Knox,IN,Proprietary,3,Same,,Same,,Same,Above,Same
1348,Witham Health Services,Lebanon,IN,Government,4,Same,Above,Above,Above,Same,Above,Same
1349,Franciscan Health Lafayette,Lafayette,IN,Church,4,Same,Below,Above,Above,Same,Same,Above
1350,Columbus Regional Hospital,Columbus,IN,Government,4,Same,Above,Above,Below,Same,Above,Same
1351,Community Hospital Of Anderson And Madison County,Anderson,IN,Private,3,Same,Below,Above,Above,Same,Above,Same
1352,Memorial Hospital And Health Care Center,Jasper,IN,Church,5,Same,Above,Above,Above,Same,Above,Same
1353,Community Hospital,Munster,IN,Private,4,Above,Above,Below,Above,Same,Same,Same
1354,Franciscan Health Crown Point,Crown Point,IN,Church,4,Same,Above,Same,Same,Same,Same,Above
1355,Community Hospital South,Indianapolis,IN,Private,4,Same,Above,Above,Above,Same,Same,Same
1356,Kosciusko Community Hospital,Warsaw,IN,Proprietary,2,Same,Same,Same,Below,Above,Above,Same
1357,Parkview Noble Hospital,Kendallville,IN,Private,4,Same,Same,Same,Above,Same,Above,Same
1358,Women's Hospital The,Newburgh,IN,Proprietary,5,,Same,,Above,Same,Above,
1359,Dupont Hospital Llc,Fort Wayne,IN,Proprietary,4,Same,Above,Same,Same,Same,Above,Same
1360,St Vincent Heart Center Of Indiana Llc,Indianapolis,IN,Proprietary,5,Above,Above,Above,Above,Same,Same,
1361,St Vincent Carmel Hospital Inc,Carmel,IN,Church,4,Same,Above,Above,Above,Same,Same,Same
1362,Iu Health West Hospital,Avon,IN,Proprietary,5,Above,Above,Above,Above,Same,Below,Same
1363,Orthoindy Hospital,Indianapolis,IN,Unknown,-1,,,,Above,,,
1364,Indiana University Health North Hospital,Carmel,IN,Private,5,Same,Above,Above,Above,Same,Same,Same
1365,Franciscan Health Indianapolis,Indianapolis,IN,Church,2,Same,Below,Above,Above,Same,Below,Same
1366,Franciscan Health Munster,Munster,IN,Private,3,Same,Above,Below,Same,Same,Above,Same
1367,Pinnacle Hospital,Crown Point,IN,Unknown,4,Same,Above,Same,Above,,,
1368,Orthopaedic Hospital At Parkview North Llc,Fort Wayne,IN,Private,-1,,,,Above,,,
1369,The Orthopaedic Hospital Of Lutheran Health Networ,Fort Wayne,IN,Proprietary,-1,,,,Above,,,
1370,Community Hospital North,Indianapolis,IN,Private,3,Below,Below,Below,Above,Same,Same,Below
1371,Physicians' Medical Center Llc,New Albany,IN,Unknown,5,,,Same,Above,Below,,
1372,Indiana University Health Arnett Hospital,Lafayette,IN,Private,3,Below,Above,Above,Same,Same,Below,Above
1373,The Heart Hospital At Deaconess Gateway Llc,Newburgh,IN,Proprietary,4,Same,,Below,Above,,,
1374,Kentuckiana Medical Center Llc,Clarksville,IN,Proprietary,2,Same,,Below,Below,Below,Above,Same
1375,Unity Medical And Surgical Hospital,Mishawaka,IN,Unknown,-1,,,,Above,Same,,
1376,Fairbanks,Indianapolis,IN,Private,-1,,,,,,,
1377,St Vincent Fishers Hospital Inc,Fishers,IN,Private,3,Same,,Same,Same,Same,Same,Same
1378,Franciscan Health Carmel,Carmel,IN,Church,5,,,Above,Above,Same,,
1379,Monroe Hospital,Bloomington,IN,Proprietary,4,,Above,Above,Same,Same,Above,Same
1380,Community Hospital Of Bremen Inc,Bremen,IN,Private,-1,,,Same,,,,Same
1381,St Vincent Randolph Hospital Inc,Winchester,IN,Private,4,Same,,Same,Above,Same,Same,
1382,Indiana University Health Blackford Hospital,Hartford City,IN,Private,-1,,,Above,,,Same,
1383,St Vincent Jennings Hospital Inc,North Vernon,IN,Church,4,,,Same,,Same,Same,
1384,Rush Memorial Hospital,Rushville,IN,Government,3,Same,,Same,,Below,Above,Same
1385,Pulaski Memorial Hospital,Winamac,IN,Unknown,3,Same,,Same,Same,Same,Above,Same
1386,Indiana University Health Paoli Hospital,Paoli,IN,Private,4,,,Same,,Same,Same,Same
1387,St Vincent Williamsport Hospital Inc,Williamsport,IN,Church,4,Same,,Same,,Same,Above,Same
1388,St Vincent Mercy Hospital,Elwood,IN,Church,-1,Same,,Same,,,,
1389,St Vincent Clay Hospital Inc,Brazil,IN,Private,3,Same,,Same,,Same,Same,
1390,"Parkview Wabash Hospital, Inc",Wabash,IN,Private,4,Same,,Same,Above,Same,Above,
1391,Indiana University Health Tipton Hospital Inc,Tipton,IN,Unknown,4,Same,,Above,,Same,Above,Same
1392,Indiana University Health White Memorial Hospital,Monticello,IN,Private,4,Same,,Above,,Same,Above,Same
1393,Woodlawn Hospital,Rochester,IN,Government,4,Same,,Above,Same,,,Same
1394,St Vincent Salem Hospital Inc,Salem,IN,Private,-1,,,,,Same,Same,Same
1395,Cameron Memorial Community Hospital Inc,Angola,IN,Private,4,Same,,Above,Above,Same,Above,Same
1396,Indiana University Health Frankfort Inc,Frankfort,IN,Private,4,Same,,Same,,Same,Above,
1397,Greene County General Hospital,Linton,IN,Government,2,Same,,Below,Same,Same,Above,Same
1398,Dukes Memorial Hospital,Peru,IN,Private,2,Same,,Below,Same,Same,Above,Same
1399,Gibson General Hospital,Princeton,IN,Private,-1,,,Above,,,Above,
1400,Iu Health Jay,Portland,IN,Government,4,Same,,Above,Same,Same,Above,
1401,Perry County Memorial Hospital,Tell City,IN,Unknown,3,Same,,Above,Above,Same,,Below
1402,Parkview Lagrange Hospital,Lagrange,IN,Private,4,Same,,Above,Above,Same,Above,Same
1403,"Franciscan Health Rensselaer, Inc",Rensselaer,IN,Private,2,Same,,Below,,Same,Above,
1404,St Vincent Warrick,Boonville,IN,Private,3,,,Same,,Same,Above,
1405,Union Hospital Clinton,Clinton,IN,Private,4,Same,,Above,Above,Same,Same,
1406,Sullivan County Community Hospital,Sullivan,IN,Government,3,Same,,Below,Above,,Same,
1407,Indiana University Health Bedford Hospital,Bedford,IN,Private,4,Same,,Above,,Same,Above,Same
1408,Margaret Mary Health,Batesville,IN,Private,5,Same,Same,Above,Above,Same,Above,Below
1409,Adams Memorial Hospital,Decatur,IN,Government,4,Same,,Above,Above,Same,Above,Same
1410,Harrison County Hospital,Corydon,IN,Government,4,Same,,Above,Above,Same,Above,Same
1411,Decatur County Memorial Hospital,Greensburg,IN,Government,3,Same,,Same,Above,Same,Above,Below
1412,Putnam County Hospital,Greencastle,IN,Government,4,Same,,Above,Same,Same,Above,Same
1413,Scott Memorial Hospital,Scottsburg,IN,Proprietary,3,Same,,Below,Same,Same,Above,Same
1414,St Vincent Dunn Hospital Inc,Bedford,IN,Private,4,Same,,Below,Above,Same,Same,Same
1415,Unitypoint Health-marshalltown,Marshalltown,IA,Private,3,Same,Same,Above,Below,Same,Same,Same
1416,St Anthony Regional Hospital & Nursing Home,Carroll,IA,Private,4,Same,Same,Above,Above,Same,Above,Same
1417,Unitypoint Health - Keokuk,Keokuk,IA,Private,3,Same,,Same,Same,Same,Above,Same
1418,Trinity Muscatine,Muscatine,IA,Private,4,Same,,Above,Same,Same,Same,Same
1419,Trinity Regional Medical Center,Fort Dodge,IA,Private,3,Below,Below,Above,Same,Same,Above,Same
1420,Iowa Lutheran Hospital,Des Moines,IA,Private,3,Same,Above,Same,Same,Below,Same,Same
1421,Chi Health Mercy Council Bluffs,Council Bluffs,IA,Private,4,Same,Above,Below,Same,Same,Above,Same
1422,Mercy Hospital,Iowa City,IA,Church,5,Above,Above,Above,Above,Above,Above,Same
1423,Mary Greeley Medical Center,Ames,IA,Government,4,Same,Below,Above,Above,Same,Above,Above
1424,Skiff Medical Center,Newton,IA,Government,4,Same,Above,Above,Above,Same,Above,Same
1425,Genesis Medical Center-davenport,Davenport,IA,Private,2,Same,Below,Below,Below,Same,Same,Above
1426,Sartori Memorial Hospital,Cedar Falls,IA,Church,2,Same,Below,Same,Below,Below,Above,Same
1427,St Lukes Hospital,Cedar Rapids,IA,Private,5,Same,Above,Above,Same,Same,Same,Above
1428,Methodist Jennie Edmundson,Council Bluffs,IA,Private,4,Same,Above,Below,Above,Below,Above,Same
1429,Great River Medical Center,West Burlington,IA,Private,2,Same,Below,Same,Below,Same,Above,Below
1430,University Of Iowa Hospital & Clinics,Iowa City,IA,Government,2,Same,Same,Below,Below,Same,Below,Above
1431,Mercy Medical Center-north Iowa,Mason City,IA,Private,4,Below,Above,Above,Same,Same,Above,Same
1432,Covenant Medical Center,Waterloo,IA,Church,2,Same,Below,Same,Below,Below,Same,Same
1433,Mercy Medical Center-dubuque,Dubuque,IA,Church,4,Same,Same,Above,Above,Above,Above,Same
1434,Mercy Medical Center - Cedar Rapids,Cedar Rapids,IA,Church,5,Above,Same,Above,Same,Same,Above,Same
1435,Mercy Medical Center-clinton,Clinton,IA,Private,4,Same,Above,Same,Same,Same,Above,Same
1436,Iowa Methodist Medical Center,Des Moines,IA,Private,3,Below,Above,Above,Above,Below,Same,Same
1437,Mercy Medical Center-des Moines,Des Moines,IA,Private,2,Below,Below,Above,Same,Same,Same,Above
1438,Ottumwa Regional Health Center,Ottumwa,IA,Proprietary,4,Same,Above,Above,Below,Same,Same,Below
1439,Broadlawns Medical Center,Des Moines,IA,Government,3,,Same,Same,Same,Same,Below,Same
1440,Unity Point Health Trinity,Bettendorf,IA,Private,3,Same,Above,Below,Same,Same,Same,Same
1441,Allen Hospital,Waterloo,IA,Private,3,Below,Above,Above,Above,Same,Above,Same
1442,Spencer Municipal Hospital,Spencer,IA,Government,3,Same,Above,Same,Above,Same,Above,Below
1443,Finley Hospital,Dubuque,IA,Private,3,Same,Same,Same,Above,Same,Same,Same
1444,Fort Madison Community Hospital,Fort Madison,IA,Private,4,Same,Above,Above,Above,Same,Above,Below
1445,Lakes Regional Healthcare,Spirit Lake,IA,Unknown,4,Same,Same,Above,Above,Same,Above,Same
1446,St Lukes Regional Medical Center,Sioux City,IA,Private,2,Below,Below,Above,Same,Same,Same,Same
1447,Grinnell Regional Medical Center,Grinnell,IA,Private,4,Same,,Above,Above,Same,Above,Same
1448,Mercy Medical Center-sioux City,Sioux City,IA,Private,1,Below,Below,Same,Below,Same,Same,Same
1449,Baum Harmon Mercy Hospital,Primghar,IA,Church,4,,,Same,,Same,Above,
1450,Iowa Specialty Hospital - Belmond,Belmond,IA,Government,5,,,Same,Above,Same,Above,
1451,Iowa Specialty Hospital-clarion,Clarion,IA,Government,3,,,Below,Above,Same,Above,
1452,Grundy County Memorial Hospital,Grundy Center,IA,Unknown,3,,,Same,,Same,Above,Same
1453,Chi Health  - Mercy Corning,Corning,IA,Private,4,Same,,Above,,Same,Above,
1454,Pocahontas Community Hospital,Pocahontas,IA,Government,-1,,,,,,,
1455,Jones Regional Medical Center,Anamosa,IA,Private,4,Same,,Above,,Same,Same,Same
1456,Hancock County Health System,Britt,IA,Unknown,3,Same,,Above,,Same,Above,Same
1457,Franklin General Hospital,Hampton,IA,Government,3,,,Same,,Same,Above,
1458,Chi Health Missouri Valley,Missouri Valley,IA,Private,4,Same,,Above,,Same,Above,Same
1459,Adair County Memorial Hospital,Greenfield,IA,Government,-1,,,,,,Above,
1460,Hawarden Regional Healthcare,Hawarden,IA,Government,-1,,,,,Same,Above,
1461,Guttenberg Municipal Hospital,Guttenberg,IA,Government,-1,,,Same,,,,
1462,Genesis Medical Center-dewitt,Dewitt,IA,Private,4,,,Same,,Same,Above,
1463,Guthrie County Hospital,Guthrie Center,IA,Government,3,,,Same,,Same,Above,
1464,Keokuk County Health Center,Sigourney,IA,Unknown,-1,,,,,,Same,
1465,Gundersen Palmer Lutheran Hospital And Clinics,West Union,IA,Private,-1,,,Same,,,Same,
1466,Compass Memorial Healthcare,Marengo,IA,Unknown,-1,,,Same,,,,
1467,Veterans Memorial Hospital,Waukon,IA,Government,5,Same,,Same,Above,,,
1468,Central Community Hospital,Elkader,IA,Private,-1,,,,,Same,Above,
1469,Community Memorial Hospital Medical Center,Sumner,IA,Private,4,,,Same,,,Above,Same
1470,Sanford Rock Rapids Medical Center,Rock Rapids,IA,Private,-1,,,Same,,,,
1471,Dallas County Hospital,Perry,IA,Unknown,-1,,,,,Same,Same,
1472,Mitchell County Regional Health,Osage,IA,Unknown,4,Same,,Above,,,Same,Same
1473,George C Grape Community Hospital,Hamburg,IA,Proprietary,-1,,,Same,,,Same,
1474,Greene County Medical Center,Jefferson,IA,Government,-1,,,Same,,,,
1475,Madison County Memorial Hospital,Winterset,IA,Government,-1,,,Same,,,,
1476,Davis County Hospital,Bloomfield,IA,Government,-1,Same,,Same,,,,
1477,Regional Health Services Of Howard County,Cresco,IA,Unknown,3,,,Same,,Same,Same,
1478,Jackson County Regional Health Center,Maquoketa,IA,Government,-1,,,,,Same,Above,Same
1479,Audubon County Memorial Hospital,Audubon,IA,Government,-1,,,Same,,,Same,
1480,Mercy Medical Center-new Hampton,New Hampton,IA,Church,-1,,,,,,,Same
1481,Manning Regional Healthcare Center,Manning,IA,Private,-1,,,,,Same,Same,
1482,Story County Hospital,Nevada,IA,Government,-1,,,,,,,
1483,Humboldt County Memorial Hospital,Humboldt,IA,Unknown,-1,,,Same,,,Same,
1484,Buchanan County Health Center,Independence,IA,Unknown,-1,,,Same,,,,
1485,Hegg Memorial Health Center,Rock Valley,IA,Private,-1,,,,,Same,Above,Same
1486,Van Buren County Hospital,Keosauqua,IA,Government,-1,Same,,Same,,,,
1487,Mercy Hospital Of Franciscan Sisters-oelwein,Oelwein,IA,Church,-1,,,,,Same,,
1488,Waverly Health Center,Waverly,IA,Government,4,Same,,Same,Above,Same,Same,
1489,Decatur County Hospital,Leon,IA,Government,-1,,,,,,,
1490,Lucas County Health Center,Chariton,IA,Unknown,3,,,Same,,Same,Above,
1491,Monroe County Hospital,Albia,IA,Unknown,2,,,Same,,Same,Above,
